state,state_abb,fips,year,year_frac,law_class,law_class_subtype,handguns_or_long_guns,age_for_minimum_age_laws,law_id
Alabama,AL,01,2015,1,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AL1003
Alabama,AL,01,2016,1,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AL1003
Alabama,AL,01,2017,1,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AL1003
Alabama,AL,01,2018,1,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AL1003
Alabama,AL,01,2019,1,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AL1003
Alabama,AL,01,2020,1,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AL1003
Alabama,AL,01,2021,1,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AL1003
Alabama,AL,01,2022,1,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AL1003
Alabama,AL,01,2023,0.003,Carrying a concealed weapon (ccw),Shall issue,handgun,#N/A,AL1003
Alabama,AL,01,2015,0,Carrying a concealed weapon (ccw),Shall issue (permit not required),handgun,#N/A,AL1043
Alabama,AL,01,2016,0,Carrying a concealed weapon (ccw),Shall issue (permit not required),handgun,#N/A,AL1043
Alabama,AL,01,2017,0,Carrying a concealed weapon (ccw),Shall issue (permit not required),handgun,#N/A,AL1043
Alabama,AL,01,2018,0,Carrying a concealed weapon (ccw),Shall issue (permit not required),handgun,#N/A,AL1043
Alabama,AL,01,2019,0,Carrying a concealed weapon (ccw),Shall issue (permit not required),handgun,#N/A,AL1043
Alabama,AL,01,2020,0,Carrying a concealed weapon (ccw),Shall issue (permit not required),handgun,#N/A,AL1043
Alabama,AL,01,2021,0,Carrying a concealed weapon (ccw),Shall issue (permit not required),handgun,#N/A,AL1043
Alabama,AL,01,2022,0,Carrying a concealed weapon (ccw),Shall issue (permit not required),handgun,#N/A,AL1043
Alabama,AL,01,2023,0.997,Carrying a concealed weapon (ccw),Shall issue (permit not required),handgun,#N/A,AL1043
Alaska,AK,02,2015,0,Carrying a concealed weapon (ccw),Prohibited,handgun,#N/A,AK1002
Alaska,AK,02,2016,0,Carrying a concealed weapon (ccw),Prohibited,handgun,#N/A,AK1002
Alaska,AK,02,2017,0,Carrying a concealed weapon (ccw),Prohibited,handgun,#N/A,AK1002
Alaska,AK,02,2018,0,Carrying a concealed weapon (ccw),Prohibited,handgun,#N/A,AK1002
Alaska,AK,02,2019,0,Carrying a concealed weapon (ccw),Prohibited,handgun,#N/A,AK1002
Alaska,AK,02,2020,0,Carrying a concealed weapon (ccw),Prohibited,handgun,#N/A,AK1002
Alaska,AK,02,2021,0,Carrying a concealed weapon (ccw),Prohibited,handgun,#N/A,AK1002
Alaska,AK,02,2022,0,Carrying a concealed weapon (ccw),Prohibited,handgun,#N/A,AK1002
Alaska,AK,02,2023,0,Carrying a concealed weapon (ccw),Prohibited,handgun,#N/A,AK1002
Alaska,AK,02,2015,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1005
Alaska,AK,02,2016,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1005
Alaska,AK,02,2017,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1005
Alaska,AK,02,2018,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1005
Alaska,AK,02,2019,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1005
Alaska,AK,02,2020,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1005
Alaska,AK,02,2021,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1005
Alaska,AK,02,2022,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1005
Alaska,AK,02,2023,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1005
Alaska,AK,02,2015,0,Castle doctrine,Expanded 2,handgun and long gun,#N/A,AK1006
Alaska,AK,02,2016,0,Castle doctrine,Expanded 2,handgun and long gun,#N/A,AK1006
Alaska,AK,02,2017,0,Castle doctrine,Expanded 2,handgun and long gun,#N/A,AK1006
Alaska,AK,02,2018,0,Castle doctrine,Expanded 2,handgun and long gun,#N/A,AK1006
Alaska,AK,02,2019,0,Castle doctrine,Expanded 2,handgun and long gun,#N/A,AK1006
Alaska,AK,02,2020,0,Castle doctrine,Expanded 2,handgun and long gun,#N/A,AK1006
Alaska,AK,02,2021,0,Castle doctrine,Expanded 2,handgun and long gun,#N/A,AK1006
Alaska,AK,02,2022,0,Castle doctrine,Expanded 2,handgun and long gun,#N/A,AK1006
Alaska,AK,02,2023,0,Castle doctrine,Expanded 2,handgun and long gun,#N/A,AK1006
Alaska,AK,02,2015,1,Minimum age,Youth possession,long gun,16,AK1009
Alaska,AK,02,2016,1,Minimum age,Youth possession,long gun,16,AK1009
Alaska,AK,02,2017,1,Minimum age,Youth possession,long gun,16,AK1009
Alaska,AK,02,2018,1,Minimum age,Youth possession,long gun,16,AK1009
Alaska,AK,02,2019,1,Minimum age,Youth possession,long gun,16,AK1009
Alaska,AK,02,2020,1,Minimum age,Youth possession,long gun,16,AK1009
Alaska,AK,02,2021,1,Minimum age,Youth possession,long gun,16,AK1009
Alaska,AK,02,2022,1,Minimum age,Youth possession,long gun,16,AK1009
Alaska,AK,02,2023,0.999,Minimum age,Youth possession,long gun,16,AK1009
Alaska,AK,02,2015,1,Minimum age,Purchase and sale,long gun,18,AK1011
Alaska,AK,02,2016,1,Minimum age,Purchase and sale,long gun,18,AK1011
Alaska,AK,02,2017,1,Minimum age,Purchase and sale,long gun,18,AK1011
Alaska,AK,02,2018,1,Minimum age,Purchase and sale,long gun,18,AK1011
Alaska,AK,02,2019,1,Minimum age,Purchase and sale,long gun,18,AK1011
Alaska,AK,02,2020,1,Minimum age,Purchase and sale,long gun,18,AK1011
Alaska,AK,02,2021,1,Minimum age,Purchase and sale,long gun,18,AK1011
Alaska,AK,02,2022,1,Minimum age,Purchase and sale,long gun,18,AK1011
Alaska,AK,02,2023,0.999,Minimum age,Purchase and sale,long gun,18,AK1011
Alaska,AK,02,2015,1,Minimum age,Youth possession,handgun,16,AK1015
Alaska,AK,02,2016,1,Minimum age,Youth possession,handgun,16,AK1015
Alaska,AK,02,2017,1,Minimum age,Youth possession,handgun,16,AK1015
Alaska,AK,02,2018,1,Minimum age,Youth possession,handgun,16,AK1015
Alaska,AK,02,2019,1,Minimum age,Youth possession,handgun,16,AK1015
Alaska,AK,02,2020,1,Minimum age,Youth possession,handgun,16,AK1015
Alaska,AK,02,2021,1,Minimum age,Youth possession,handgun,16,AK1015
Alaska,AK,02,2022,1,Minimum age,Youth possession,handgun,16,AK1015
Alaska,AK,02,2023,0.999,Minimum age,Youth possession,handgun,16,AK1015
Alaska,AK,02,2015,1,Minimum age,Purchase and sale,handgun,18,AK1016
Alaska,AK,02,2016,1,Minimum age,Purchase and sale,handgun,18,AK1016
Alaska,AK,02,2017,1,Minimum age,Purchase and sale,handgun,18,AK1016
Alaska,AK,02,2018,1,Minimum age,Purchase and sale,handgun,18,AK1016
Alaska,AK,02,2019,1,Minimum age,Purchase and sale,handgun,18,AK1016
Alaska,AK,02,2020,1,Minimum age,Purchase and sale,handgun,18,AK1016
Alaska,AK,02,2021,1,Minimum age,Purchase and sale,handgun,18,AK1016
Alaska,AK,02,2022,1,Minimum age,Purchase and sale,handgun,18,AK1016
Alaska,AK,02,2023,0.999,Minimum age,Purchase and sale,handgun,18,AK1016
Alaska,AK,02,2015,1,Prohibited possessor,Dvro : expanded,handgun and long gun,#N/A,AK1023
Alaska,AK,02,2016,1,Prohibited possessor,Dvro : expanded,handgun and long gun,#N/A,AK1023
Alaska,AK,02,2017,1,Prohibited possessor,Dvro : expanded,handgun and long gun,#N/A,AK1023
Alaska,AK,02,2018,1,Prohibited possessor,Dvro : expanded,handgun and long gun,#N/A,AK1023
Alaska,AK,02,2019,1,Prohibited possessor,Dvro : expanded,handgun and long gun,#N/A,AK1023
Alaska,AK,02,2020,1,Prohibited possessor,Dvro : expanded,handgun and long gun,#N/A,AK1023
Alaska,AK,02,2021,1,Prohibited possessor,Dvro : expanded,handgun and long gun,#N/A,AK1023
Alaska,AK,02,2022,1,Prohibited possessor,Dvro : expanded,handgun and long gun,#N/A,AK1023
Alaska,AK,02,2023,0.999,Prohibited possessor,Dvro : expanded,handgun and long gun,#N/A,AK1023
Alaska,AK,02,2015,0,Background checks,Sales from dealer : federal,handgun,#N/A,AK1030
Alaska,AK,02,2016,0,Background checks,Sales from dealer : federal,handgun,#N/A,AK1030
Alaska,AK,02,2017,0,Background checks,Sales from dealer : federal,handgun,#N/A,AK1030
Alaska,AK,02,2018,0,Background checks,Sales from dealer : federal,handgun,#N/A,AK1030
Alaska,AK,02,2019,0,Background checks,Sales from dealer : federal,handgun,#N/A,AK1030
Alaska,AK,02,2020,0,Background checks,Sales from dealer : federal,handgun,#N/A,AK1030
Alaska,AK,02,2021,0,Background checks,Sales from dealer : federal,handgun,#N/A,AK1030
Alaska,AK,02,2022,0,Background checks,Sales from dealer : federal,handgun,#N/A,AK1030
Alaska,AK,02,2023,0,Background checks,Sales from dealer : federal,handgun,#N/A,AK1030
Alaska,AK,02,2015,1,Background checks,Sales from dealer : federal,handgun and long gun,#N/A,AK1031
Alaska,AK,02,2016,1,Background checks,Sales from dealer : federal,handgun and long gun,#N/A,AK1031
Alaska,AK,02,2017,1,Background checks,Sales from dealer : federal,handgun and long gun,#N/A,AK1031
Alaska,AK,02,2018,1,Background checks,Sales from dealer : federal,handgun and long gun,#N/A,AK1031
Alaska,AK,02,2019,1,Background checks,Sales from dealer : federal,handgun and long gun,#N/A,AK1031
Alaska,AK,02,2020,1,Background checks,Sales from dealer : federal,handgun and long gun,#N/A,AK1031
Alaska,AK,02,2021,1,Background checks,Sales from dealer : federal,handgun and long gun,#N/A,AK1031
Alaska,AK,02,2022,1,Background checks,Sales from dealer : federal,handgun and long gun,#N/A,AK1031
Alaska,AK,02,2023,0.999,Background checks,Sales from dealer : federal,handgun and long gun,#N/A,AK1031
Alaska,AK,02,2015,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1040
Alaska,AK,02,2016,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1040
Alaska,AK,02,2017,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1040
Alaska,AK,02,2018,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1040
Alaska,AK,02,2019,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1040
Alaska,AK,02,2020,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1040
Alaska,AK,02,2021,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1040
Alaska,AK,02,2022,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1040
Alaska,AK,02,2023,0,Castle doctrine,N/A,handgun and long gun,#N/A,AK1040
Alaska,AK,02,2015,0,Waiting period,Federal,handgun,#N/A,AK1041
Alaska,AK,02,2016,0,Waiting period,Federal,handgun,#N/A,AK1041
Alaska,AK,02,2017,0,Waiting period,Federal,handgun,#N/A,AK1041
Alaska,AK,02,2018,0,Waiting period,Federal,handgun,#N/A,AK1041
Alaska,AK,02,2019,0,Waiting period,Federal,handgun,#N/A,AK1041
Alaska,AK,02,2020,0,Waiting period,Federal,handgun,#N/A,AK1041
Alaska,AK,02,2021,0,Waiting period,Federal,handgun,#N/A,AK1041
Alaska,AK,02,2022,0,Waiting period,Federal,handgun,#N/A,AK1041
Alaska,AK,02,2023,0,Waiting period,Federal,handgun,#N/A,AK1041
Alaska,AK,02,2015,1,Firearm removal at scene of domestic violence,Authorized,handgun and long gun,#N/A,AK1044
Alaska,AK,02,2016,1,Firearm removal at scene of domestic violence,Authorized,handgun and long gun,#N/A,AK1044
Alaska,AK,02,2017,1,Firearm removal at scene of domestic violence,Authorized,handgun and long gun,#N/A,AK1044
Alaska,AK,02,2018,1,Firearm removal at scene of domestic violence,Authorized,handgun and long gun,#N/A,AK1044
Alaska,AK,02,2019,1,Firearm removal at scene of domestic violence,Authorized,handgun and long gun,#N/A,AK1044
Alaska,AK,02,2020,1,Firearm removal at scene of domestic violence,Authorized,handgun and long gun,#N/A,AK1044
Alaska,AK,02,2021,1,Firearm removal at scene of domestic violence,Authorized,handgun and long gun,#N/A,AK1044
Alaska,AK,02,2022,1,Firearm removal at scene of domestic violence,Authorized,handgun and long gun,#N/A,AK1044
Alaska,AK,02,2023,0.999,Firearm removal at scene of domestic violence,Authorized,handgun and long gun,#N/A,AK1044
Alaska,AK,02,2015,1,Local laws preempted by state,Comprehensive,handgun and long gun,#N/A,AK1047
